"chrom","start","end","pos"
"NW_022145594.1",46593872,46652026,46622949
"NW_022145594.1",47331110,47384572,47357841
"NW_022145594.1",48278015,48281955,48279985
"NW_022145594.1",48321212,48323547,48322379.5
"NW_022145594.1",48418907,48423895,48421401
"NW_022145594.1",48775721,48779774,48777747.5
"NW_022145594.1",49316968,49321221,49319094.5
"NW_022145594.1",49321224,49356231,49338727.5
"NW_022145594.1",49481559,49485632,49483595.5
"NW_022145594.1",49500856,49507479,49504167.5
"NW_022145594.1",49522537,49526219,49524378
"NW_022145594.1",49592756,49600272,49596514
"NW_022145594.1",49938751,49946699,49942725
"NW_022145594.1",50026142,50038497,50032319.5
"NW_022145594.1",50365002,50375850,50370426
"NW_022145594.1",50375858,50384465,50380161.5
"NW_022145594.1",50466717,50498393,50482555
"NW_022145594.1",51115680,51121646,51118663
"NW_022145594.1",51399203,51405289,51402246
"NW_022145594.1",51565266,51570926,51568096
"NW_022145594.1",51589246,51593398,51591322
"NW_022145594.1",52064914,52194532,52129723
