"chrom","start","end","pos"
"NW_022145594.1",33890251,33907512,33898881.5
"NW_022145594.1",35754691,35809062,35781876.5
"NW_022145594.1",37318908,37334471,37326689.5
"NW_022145594.1",39382461,39400237,39391349
"NW_022145594.1",39441113,39490746,39465929.5
"NW_022145594.1",39850195,39858406,39854300.5
"NW_022145594.1",39873817,39886653,39880235
"NW_022145594.1",39891445,39902378,39896911.5
"NW_022145594.1",39908166,39931132,39919649
"NW_022145594.1",40141095,40234071,40187583
"NW_022145594.1",42765098,42768748,42766923
"NW_022145594.1",42852952,42863752,42858352
"NW_022145594.1",42875276,42879769,42877522.5
"NW_022145594.1",43119773,43291367,43205570
"NW_022145594.1",43862996,43872400,43867698
"NW_022145594.1",43872401,43879566,43875983.5
"NW_022145594.1",43976671,43982167,43979419
"NW_022145594.1",44088696,44101845,44095270.5
"NW_022145594.1",44191469,44272101,44231785
"NW_022145594.1",44450063,44455780,44452921.5
"NW_022145594.1",44754993,44849838,44802415.5
"NW_022145594.1",45437429,45441827,45439628
"NW_022145594.1",46058131,46073322,46065726.5
"NW_022145594.1",47232491,47270894,47251692.5
"NW_022145594.1",47769393,47773616,47771504.5
"NW_022145594.1",47821823,47833095,47827459
"NW_022145594.1",47854433,47869161,47861797
"NW_022145594.1",48139762,48143789,48141775.5
"NW_022145594.1",48629423,48649982,48639702.5
"NW_022145594.1",48694843,48742383,48718613
"NW_022145594.1",49574544,49577046,49575795
"NW_022145594.1",49637902,49641220,49639561
"NW_022145594.1",50392047,50403788,50397917.5
"NW_022145594.1",51376064,51384825,51380444.5
"NW_022145594.1",51814557,51819429,51816993
"NW_022145594.1",51967785,51976584,51972184.5
"NW_022145594.1",51976611,51985318,51980964.5
"NW_022145594.1",51985326,51991507,51988416.5
"NW_022145594.1",51991508,52008698,52000103
"NW_022145594.1",52518668,52645330,52581999
